Id,ParticipantNumber,CreatedAt,Age,"Gender
(1=male, 2=female, 3 = non binary)","HasPreviouisLLMExperience 
(0=no, 1=yes)","LLMUsageFrequency
(1=min - 5=max)","PromptConfidence
(1=min - 5=max)","HasProgrammingExperience
(0=no, 1=yes)"
0B5E5505-1163-43AE-F350-08DDDDC9614C,1,2025-08-17 20:07:21,25,1,1,5,4,1
25E20605-B7A1-4A58-F351-08DDDDC9614C,2,2025-08-17 20:08:26,25,1,1,5,5,1
213FEFC1-BC9B-4D26-DFED-08DDDE3BE077,3,2025-08-18 9:44:51,22,1,1,4,3,1
A7D9C1AF-FA73-4C73-5E5B-08DDDE789B94,4,2025-08-18 16:59:34,27,1,1,4,4,1
6A4218C7-29F2-4D66-D0DD-08DDDE8C91E7,5,2025-08-18 19:22:28,27,1,1,5,4,1
1797D4AF-A451-41A2-3A3B-08DDDE96C034,6,2025-08-18 20:35:21,25,1,1,4,3,1
C480B7A6-7ADF-43A3-2266-08DDDEF6AB90,7,2025-08-19 8:01:58,27,1,1,4,3,1
23DA79C7-8437-4AC4-197E-08DDDF47FF16,8,2025-08-19 17:44:07,25,1,1,5,5,1
0854A76B-923D-4F74-9890-08DDE0A4F627,9,2025-08-21 11:25:32,23,2,1,5,5,1
6414A6B5-50A9-412C-D3C5-08DDE0FB2A25,10,2025-08-21 21:39:10,27,1,1,5,5,1
934A741B-AF2B-442A-91BE-08DDE103FB15,11,2025-08-21 22:42:17,24,1,1,5,5,1
33504BD6-F362-4543-F6EC-08DDE23F9EF0,12,2025-08-23 12:21:43,26,1,1,5,4,1
C4FA61BB-9467-4387-4447-08DDE2E0555F,13,2025-08-24 7:32:09,30,1,1,5,5,1
02B62FE9-01D1-443C-4448-08DDE2E0555F,14,2025-08-24 8:10:52,29,2,1,4,4,0
1546EAA6-895C-4F49-4449-08DDE2E0555F,15,2025-08-24 8:14:08,25,2,1,5,3,0
0EEFF6CA-9541-46C1-AB0D-08DDE2F7DA60,16,2025-08-24 11:00:11,31,2,1,2,4,0
80DD0C62-4B64-48C3-AB0F-08DDE2F7DA60,17,2025-08-24 11:49:28,29,1,1,5,5,0
C2D21114-D0F9-4A7C-AB10-08DDE2F7DA60,18,2025-08-24 11:53:28,27,2,1,5,4,0
A465027D-5C75-4B15-AB12-08DDE2F7DA60,19,2025-08-24 11:55:06,30,2,1,3,3,0
4C81CB89-FA90-4C2F-AB13-08DDE2F7DA60,20,2025-08-24 12:13:33,30,1,1,5,5,1
0AE0E1B1-2A98-4F1F-B0C1-08DDE30D641E,21,2025-08-24 12:54:41,27,2,1,5,4,0
BB5F6196-1621-43A3-B0C2-08DDE30D641E,22,2025-08-24 12:57:03,31,1,1,4,4,1